שנה ב,Year_2,וישלח,Vayishlah,Breshit,הלכות שבת בדיבור ובמחשבה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%95%D7%99%D7%A9%D7%9C%D7%97
שנה ב,Year_2,מקץ,Mikets,Breshit,הלכות טלטול בשבת,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%9E%D7%A7%D7%A5
שנה ב,Year_2,ויגש,Vayigash,Breshit,משך הלכות טלטול,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%95%D7%99%D7%92%D7%A9
שנה ב,Year_2,ויחי,Vayhi,Breshit,הלכות שטיחת בגדים לייבוש - קיפול - כיבוס,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%95%D7%99%D7%97%D7%99
שנה ב,Year_2,שמות,Shmot,Shmot,הלכות בונה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%A9%D7%9E%D7%95%D7%AA
שנה ב,Year_2,וארא,Vaera,Shmot,הלכות צידה ונטילת נשמה ,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%95%D7%90%D7%A8%D7%90
שנה ב,Year_2,בא,Bo,Shmot,הלכות בישול וכבישה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%91%D7%90
שנה ב,Year_2,בשלח,Bshalah,Shmot,הלכות בורר,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%91%D7%A9%D7%9C%D7%97
שנה ב,Year_2,יתרו,Yitro,Shmot,הלכות סחיטת משקין - מוליד - מכה בפטיש,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%99%D7%AA%D7%A8%D7%95
שנה ב,Year_2,משפטים,Mishpatim,Shmot,הלכות טחינה ולישה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%9E%D7%A9%D7%A4%D7%98%D7%99%D7%9D
